instance,optimum,best_fit,after_initial_local,after_initial_oscillation,local_gain,oscillation_gain,direct_gls_gain,final_mean,gap_percent,mean_gls_calls
1,100,107.000,107.000,106.000,0.000,6.333,0.000,100.667,0.667,0.000
5,100,124.000,121.000,119.000,3.000,15.000,0.333,105.667,5.667,6.333
7,100,108.000,108.000,106.000,0.000,5.667,0.000,102.333,2.333,0.000
8,101,103.000,103.000,103.000,0.000,2.000,0.000,101.000,0.000,0.000
11,100,144.000,144.000,144.000,0.333,34.667,0.667,108.333,8.333,9.667
13,101,104.000,104.000,104.000,0.000,3.000,0.000,101.000,0.000,0.000
14,101,105.000,105.000,104.000,0.000,3.333,0.000,101.667,0.660,0.000
15,100,106.000,106.000,106.000,0.000,5.333,0.000,100.667,0.667,0.000
17,100,113.000,111.000,104.000,2.000,10.333,0.000,100.667,0.667,0.000
19,102,112.000,111.000,109.000,1.000,5.667,0.000,105.333,3.268,0.000
21,101,103.000,103.000,103.000,0.000,2.000,0.000,101.000,0.000,0.000
22,101,104.000,104.000,104.000,0.000,2.667,0.000,101.333,0.330,0.000
23,100,106.000,106.000,104.000,0.000,5.667,0.000,100.333,0.333,0.000
24,102,120.000,120.000,117.000,0.000,12.333,0.000,107.667,5.556,0.000
25,103,105.000,104.000,104.000,1.000,1.000,0.000,103.000,0.000,0.000
28,102,170.000,158.000,155.000,12.000,32.000,4.667,121.333,18.954,18.667
29,101,109.000,109.000,108.000,0.000,6.667,0.000,102.333,1.320,0.000
30,102,102.000,102.000,102.000,0.000,0.000,0.000,102.000,0.000,0.000
31,100,100.000,100.000,100.000,0.000,0.000,0.000,100.000,0.000,0.000
33,100,111.000,111.000,109.000,0.000,11.000,0.000,100.000,0.000,0.000
35,101,112.000,111.000,111.000,1.000,5.667,0.000,105.333,4.290,0.000
40,101,153.000,148.667,143.667,4.333,40.333,0.000,108.333,7.261,0.000
41,101,101.000,101.000,101.000,0.000,0.000,0.000,101.000,0.000,0.000
42,100,105.000,105.000,104.000,0.000,3.667,0.000,101.333,1.333,0.000
43,100,113.000,111.000,107.000,2.000,8.333,0.000,102.667,2.667,0.000
44,101,108.000,108.000,108.000,0.000,4.667,0.000,103.333,2.310,0.000
45,100,104.000,104.000,102.000,0.000,4.000,0.000,100.000,0.000,0.000
47,100,108.000,105.000,104.000,3.000,5.000,0.000,100.000,0.000,0.000
48,101,101.000,101.000,101.000,0.000,0.000,0.000,101.000,0.000,0.000
