instance,optimal,best_fit,vnd,osc,ils_osc,gap_pct
1,100,107,107,106,102,2
5,100,124,121,122,118,18
7,100,108,108,106,105,5
8,101,103,103,103,101,0
11,100,144,144,144,141,41
13,101,104,104,104,102,0
14,101,105,105,104,104,2
15,100,106,106,106,102,2
17,100,113,111,104,100,0
19,102,112,111,109,108,5
21,101,103,103,103,101,0
22,101,104,104,104,101,0
23,100,106,106,104,104,4
24,102,120,120,117,115,12
25,103,105,104,104,103,0
28,102,170,155,155,154,50
29,101,109,109,108,108,6
30,102,102,102,102,102,0
31,100,100,100,100,100,0
33,100,111,111,109,107,7
35,101,112,111,112,109,7
40,101,153,145,149,128,26
41,101,101,101,101,101,0
42,100,105,105,104,104,4
43,100,113,111,108,106,6
44,101,108,108,108,106,4
45,100,104,104,102,101,1
47,100,108,105,104,104,4
48,101,101,101,101,101,0
50,100,113,113,108,106,6
51,100,100,100,100,100,0
52,101,102,102,102,101,0
54,100,101,100,100,100,0
56,101,105,105,103,101,0
57,100,100,100,100,100,0
58,100,101,101,100,100,0
60,100,112,111,105,104,4
61,101,112,112,109,105,3
63,100,106,104,104,100,0
64,100,107,107,101,100,0
65,100,116,115,114,109,9
67,100,102,102,101,100,0
73,102,115,115,112,108,5
74,100,101,101,100,100,0
75,100,100,100,100,100,0
76,100,109,109,108,105,5
77,103,108,108,108,105,1
81,101,112,112,112,108,6
82,100,100,100,100,100,0
84,100,100,100,100,100,0
85,101,102,102,102,101,0
86,102,105,105,104,102,0
87,101,107,107,104,102,0
88,101,103,103,102,102,0
89,101,104,104,104,103,1
90,100,111,110,110,107,7
95,100,106,106,106,101,1
98,101,119,119,112,109,7
99,100,103,102,101,100,0
100,101,182,172,161,161,59
101,100,147,147,146,144,44
102,100,109,109,104,102,2
108,100,116,114,110,107,7
109,101,101,101,101,101,0
110,100,106,106,103,101,1
111,100,113,113,109,106,6
116,101,102,102,102,101,0
119,100,120,120,118,116,16
120,101,103,103,103,101,0
121,100,117,115,115,113,13
122,100,111,111,111,106,6
123,100,100,100,100,100,0
124,102,125,123,115,113,10
125,100,115,115,113,107,7
127,100,111,111,106,103,3
128,101,147,142,130,128,26
129,100,159,148,145,134,34
130,101,101,101,101,101,0
131,100,100,100,100,100,0
132,103,107,107,105,103,0
134,101,116,114,107,103,1
135,100,105,105,102,101,1
137,101,111,110,106,105,3
138,100,103,103,103,100,0
141,101,101,101,101,101,0
142,100,109,109,109,107,7
143,100,110,110,106,104,4
144,101,101,101,101,101,0
145,101,102,102,102,101,0
146,100,120,120,114,111,11
147,100,140,140,135,126,26
148,101,101,101,101,101,0
149,100,100,100,100,100,0
150,100,115,115,115,112,12
